AQD CODE,DESCRIPTION,1ST,2ND CODE,2ND TITLE,3RD CODE,3RD TITLE,OFFICER AWARDING CRITERIA,NOTE_1,NOTE_2,NOTE_3,DESIGNATOR_1,DESIGNATOR_2,DESIGNATOR_3,DESIGNATOR_4,DESIGNATOR_5,DESIGNATOR_6,DESIGNATOR_7,DESIGNATOR_8,DESIGNATOR_9,DESIGNATOR_10,DESIGNATOR_11,DESIGNATOR_12,DESIGNATOR_13,DESIGNATOR_14,DESIGNATOR_15,DESIGNATOR_16,DESIGNATOR_17,DESIGNATOR_18,DESIGNATOR_19,GRADES_1,GRADES_2,LENGTH OF VALIDITY,MANPOWER TYPE,BILLET DETAILIING PREREQUISITE,NOTE_1,NOTE_2,NOTE_3,DESIGNATOR_1,DESIGNATOR_2,DESIGNATOR_3,DESIGNATOR_4,DESIGNATOR_5,DESIGNATOR_6,DESIGNATOR_7,DESIGNATOR_8,DESIGNATOR_9,DESIGNATOR_10,DESIGNATOR_11,DESIGNATOR_12,DESIGNATOR_13,DESIGNATOR_14,DESIGNATOR_15,DESIGNATOR_16,DESIGNATOR_17,DESIGNATOR_18,DESIGNATOR_19,DESIGNATOR_20,DESIGNATOR_21,DESIGNATOR_22,DESIGNATOR_23,DESIGNATOR_24,DESIGNATOR_25,GRADES_1,GRADES_2,LENGTH OF VALIDITY,MANPOWER TYPE,PRIMARY CONSULTANT_1,PRIMARY CONSULTANT_2,PRIMARY CONSULTANT_3,PRIMARY CONSULTANT_4,PRIMARY CONSULTANT_5,AUXILIARY CONSULTANT_1,AUXILIARY CONSULTANT_2,AUXILIARY CONSULTANT_3,AUXILIARY CONSULTANT_4,AUXILIARY CONSULTANT_5,AUXILIARY CONSULTANT_6,,,,,,,,,,
6XG,,6,X,Psychiatry,G,Aviation Psychiatry,"(a) BE/BC in Psychiatry.
AND
(b) Has completed a Navy board approved training program (including training in Aviation Medicine.
AND
(c) Will earn a master’s degree in Public Health.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6XG require an officer who has previously been awarded the 6XG code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6XH,,6,X,Psychiatry,H,Child/Adolescent Psychiatry,"(a) Completed at least 2 years of ACGME approved residency training in general psychiatry. 
AND
(b) 2 additional years of ACGME approved training in Child/Adolescent Psychiatry.
AND
(c) At least BE in Child/Adolescent Psychiatry with the American Board of Psychiatry and Neurology.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6XH require an officer who has previously been awarded the 6XH code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6XK,,6,X,Psychiatry,K,Consultation/ Liaison Psychiatry,"(a) BE/BC in Psychiatry.
AND
(b) Has completed a 1 year ACGME approved fellow-ship in Consultation/Liaison Psychiatry.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6XK require an officer who has previously been awarded the 6XK code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6XL,,6,X,Psychiatry,L,Forensic Psychiatry,"(a) BE/BC in Psychiatry.
 AND
(b) The added qualification certificate of the American Board of Psychiatry and Neurology. 
AND
(c) 25% of practice time.
OR
(b) 1-2 year ACGME approved advanced residency in Forensic Psychiatry (advanced residency only after 1999).
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6XL require an officer who has previously been awarded the 6XL code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6YD,,6,Y,Diagnostic Radiology,D,Imaging,"(a) Completed 3 years of approved training in Diagnostic Radiology.
AND
(b) Has completed an ACGME approved training program in Imaging.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6YD require an officer who has previously been awarded the 6YD code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6YE,,6,Y,Diagnostic Radiology,E,Interventional/ Vascular Radiology,"(a) Completed 3 years of approved training in Diagnostic Radiology.
AND
(b) Has completed an ACGME approved additional training program in Interventional/ Vascular Radiology.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6YE require an officer who has previously been awarded the 6YE code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6YF,,6,Y,Diagnostic Radiology,F,Neuro-Radiology,"(a) Completed 3 years of approved training in Diagnostic Radiology.
AND
(b) Has completed an ACGME approved additional training program in Neuro-Radiology.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6YF require an officer who has previously been awarded the 6YF code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6YG,,6,Y,Diagnostic Radiology,G,Nuclear Radiology,"(a) Completed 3 years of approved training in Diagnostic Radiology.
AND
(b) Has completed an ACGME approved additional training program in Nuclear Radiology.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6YG require an officer who has previously been awarded the 6YG code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6YI,,6,Y,Diagnostic Radiology,I,Pediatric Radiologist,"(a) Completed 3 years of approved training in Diagnostic Radiology.
AND
(b) Has completed an ACGME approved additional training program in Pediatric Radiology.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6YI require an officer who has previously been awarded the 6YI code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6YK,,6,Y,Diagnostic Radiology,K,Diagnostic Imaging Physicist,"Obtained board certification in Diagnostic Medical Physics thru the American Board of Radiology (ABR).
OR
Completed an on-the-job training regimen that results in qualification for all diagnostic imaging modalities deployed with operational forces deemed acceptable by the navy Medical Physics Advisory Board (NMPAB).",,,,230X,,,,,,,,,,,,,,,,,,,O2 TO O6,,Indefinite,Active and Reserve,Billets coded with 6YK require an officer who has previously been awarded the 6YK code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-N01C4,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6ZA*,,6,Z,Educational/ Ethics,A*,Instructor,Medical Department Officer awarded the academic faculty Position of instructor by an accredited U.S. University consistent with the officer’s field of training.,,,,210X,220X,230X,290X,,,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,Billets coded with 6ZA require an officer who has previously been awarded the 6ZA code prior to reporting to ultimate duty assignment.,,,,2100,2102,2200,2300,2302,2900,,,,,,,,,,,,,,,,,,,,O1 TO O6,,,Active and Reserve,BUMED-00C1 Corps appropriate,BUMED-00C2 Corps appropriate,BUMED-00C3 Corps appropriate,BUMED-00C4 Corps appropriate,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6ZB*,,6,Z,Educational/ Ethics,B*,Assistant Professor,Medical Department Officer awarded the academic faculty Position of instructor by an accredited U.S. University consistent with the officer’s field of training.,,,,210X,220X,230X,290X,,,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,Billets coded with 6ZB require an officer who has previously been awarded the 6ZB code prior to reporting to ultimate duty assignment.,,,,2100,2102,2200,2300,2302,2900,,,,,,,,,,,,,,,,,,,,O1 TO O6,,,Active and Reserve,BUMED-00C1 Corps appropriate,BUMED-00C2 Corps appropriate,BUMED-00C3 Corps appropriate,BUMED-00C4 Corps appropriate,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6ZC*,,6,Z,Educational/ Ethics,C*,Associate Professor,Medical Department Officer awarded the academic faculty position of instructor by an accredited U.S. University consistent with the officer’s field of training.,,,,210X,220X,230X,290X,,,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,Billets coded with 6ZC require an officer who has previously been awarded the 6ZC code prior to reporting to ultimate duty assignment.,,,,2100,2102,2200,2300,2302,2900,,,,,,,,,,,,,,,,,,,,O1 TO O6,,,Active and Reserve,BUMED-00C1 Corps appropriate,BUMED-00C2 Corps appropriate,BUMED-00C3 Corps appropriate,BUMED-00C4 Corps appropriate,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6ZD*,,6,Z,Educational/ Ethics,D*,Full Professor,Medical Department Officer awarded the academic faculty Position of instructor by an accredited U.S. University consistent with the officer’s Held of training.,,,,210X,220X,230X,290X,,,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,Billets coded with 6ZD require an officer who has previously been awarded the 6ZD code prior to reporting to ultimate duty assignment.,,,,2100,2102,2200,2300,2302,2900,,,,,,,,,,,,,,,,,,,,O1 TO O6,,,Active and Reserve,BUMED-00C1 Corps appropriate,BUMED-00C2 Corps appropriate,BUMED-00C3 Corps appropriate,BUMED-00C4 Corps appropriate,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6ZE,,6,Z,Educational/ Ethics,E,Medical Ethicist,Medical Department Officer who has successfully completed an officially approved program of training in Medical Ethics.,,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6ZE require an officer who has previously been awarded the 6ZE code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6ZF,,6,Z,Educational/ Ethics,F,Researcher,"(a) Completed an IRB approved research project fully consistent with the guidelines as promulgated by HSETC.
AND
(b) Met the rigorous guidelines of their medical community for publication in a Peer-reviewed journal.
",,,,210X,220X,230X,290X,,,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,Billets coded with 6ZF indicate research positions.,,,,2100,2102,2200,2300,2302,2900,,,,,,,,,,,,,,,,,,,,O1 TO O6,,,Active and Reserve,BUMED-00C1 Corps appropriate,BUMED-00C2 Corps appropriate,BUMED-00C3 Corps appropriate,BUMED-00C4 Corps appropriate,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
6ZG,,6,Z,Educational/ Ethics,G,Residency Program Director,"Medical Department Officer who has met all the established criteria of the certifying agencies (i.e., Residency Review Committees for conducting an accredited training program for officers in training).",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 6ZG require an officer who has previously been awarded the 6ZG code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
62A,,6,2,Any Medical Corps Specialty,A,Adolescent Medicine Specialist,"(a) Completed a 3-year training program in Family Practice, Pediatrics, or Internal Medicine.
AND
(b) Completed a 2-3 year advanced residency in Adolescent Medicine.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 62A require an officer who has previously been awarded the 62A code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
62B,,6,2,Any Medical Corps Specialty,B,Allergy/ Immunologist,"(a) Completed a 2-year training program in Internal Medicine or Pediatrics.
AND
(b) Completed a 2-year advanced residency in Allergy/ Immunology.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 62B require an officer who has previously been awarded the 62B code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
62C,,6,2,Any Medical Corps Specialty,C,Critical Care,"(a) Completed an ACGME approved residency training program.
AND 
(b) Met the ACGME approved requirement for advanced residency training in Critical Care Medicine.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 62C require an officer who has previously been awarded the 62C code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
62D,,6,2,Any Medical Corps Specialty,D,Faculty Development,"(a) Completed an ACGME approved residency. 
AND
(b) Completed an accredited advanced residency in Faculty Development.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 62D require an officer who has previously been awarded the 62D code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
62E,,6,2,Any Medical Corps Specialty,E,Geriatric Medicine,"(a) Completed an ACGME approved residency. 
AND
(b) Completed an accredited advanced residency in Geriatric Medicine.
OR
(c) Has earned a Certificate of Additional Competency in Geriatric Medicine.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 62E require an officer who has previously been awarded the 62E code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
62F,,6,2,Any Medical Corps Specialty,F,Hand Surgery,"(a) Completed a residency in General, Plastic, or Orthopedic Surgery.
AND
(b) Completed an advanced residency in hand surgery.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 62F require an officer who has previously been awarded the 62F code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
62G,,6,2,Any Medical Corps Specialty,G,Sports Medicine Specialist,"(a) Completed an ACGME approved residency in Emergency Medicine, Pediatrics, Family Practice, or Internal Medicine.
AND
(b) An accredited advanced residency in Sports Medicine.
AND
(c) Meets all requirements leading to a Certificate of Added Competency in Sports Medicine.
",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 62G require an officer who has previously been awarded the 62G code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
62J,,6,2,Any Medical Corps Specialty,J,Pain Medicine,"(a) Completed an ACGME approved residency

AND

(b) Completed an ACGME approved Pain Medicine fellowship.",,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,"Billets coded with 62J require an officer who has previously been awarded AQD code 62J, prior to reporting to ultimate duty station.",,,,oncerns need to be resolved,,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED - N01C1,,,,,BUMED - N10,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
62L,,6,2,Any Medical Corps Specialty,L,Clinical Epidemiology,"Established competence in biostatistics, epidemiology, and informatics.  Preferably, a Masters in Public Health degree or comparable training/experience.",,,,210X,220X,230X,290X,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 62L require an officer who has previously been awarded the 62L code prior to reporting to ultimate duty assignment.,,,,2000,2100,2102,2200,2300,2900,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1 Corps appropriate,BUMED-00C2 Corps appropriate,BUMED-00C3 Corps appropriate,BUMED-00C4 Corps appropriate,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
62M,,6,2,Any Medical Corps Specialty,M,Sleep Medicine,BC in Sleep Medicine by the American Board of Medical Specialties (ABMS) or American Board of Sleep Medicine (ABSM).,,,,210X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,Billets coded with 62M require an officer who has previously been awarded the 62M code prior to reporting to ultimate duty assignment.,,,,2100,2102,,,,,,,,,,,,,,,,,,,,,,,,O3 TO O6,,,Active and Reserve,BUMED-00C1,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
64A,,6,4,Dental,A,Advanced Education in General Dentistry,Completed a 12-month program in Advanced Education in General Dentistry.,,,,220X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUMED-00C2 ,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
64B,,6,4,Dental,B,General Practice Residency,Completed a 12-month program in General Practice Residency.,,,,220X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUMED-00C2 ,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
64C,,6,4,Dental,C,Advanced Clinical Program (ACP) in Exodontia,Completed a 12 month ACP in Exodontia.,,,,220X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUMED-00C2 ,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
64E,,6,4,Dental,E,Forensic Dentistry,"(a) ABFO board certification.
OR
(b) Significant forensic experience.

OR
(c) Completion of AFIP training course.
",,,,220X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUMED-00C2 ,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
67A,,6,7,Executive Medicine Staff,A,Executive Medicine,Met all the competencies of the Joint Medical Executive Skills Development Program (JMESDP).,,,,210X,220X,230X,290X,,,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUMED-00C1 Corps appropriate,BUMED-00C2 Corps appropriate,BUMED-00C3 Corps appropriate,BUMED-00C4 Corps appropriate,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
67B,,6,7,Executive Medicine Staff,B,Expeditionary Medicine,Completed the Expeditionary Medicine core operational training courses.,,,,210X,220X,230X,290X,,,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUMED-00C1 Corps appropriate,BUMED-00C2 Corps appropriate,BUMED-00C3 Corps appropriate,BUMED-00C4 Corps appropriate,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
67F,,6,7,Executive Medicine Staff,F,Reserve Liaison Officer,Completed 1 year in a Reserve Liaison Officer related position,,,,210X,220X,230X,290X,,,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUMED-00C1 Corps appropriate,BUMED-00C2 Corps appropriate,BUMED-00C3 Corps appropriate,BUMED-00C4 Corps appropriate,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
67G,,6,7,Executive Medicine Staff,G,Managed Care Coordinator,"(a) Met all of the competences of the Joint Medical Executive Skills Program.
AND
(b) Has 1 year of managed care experience (assignment to TRICARE Health Plan activity (which could be regional, area office, or DHA proper)).",,,,210X,220X,230X,290X,,,,,,,,,,,,,,,,ALL,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUMED-00C1 Corps appropriate,BUMED-00C2 Corps appropriate,BUMED-00C3 Corps appropriate,BUMED-00C4 Corps appropriate,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
67H,,6,7,Executive Medicine Staff,H,Ambulatory Care Administration (ACA) Officer,"A master’s degree and has successfully completed:
(a) 18 months in an ACA officer related position.  
OR
(b) 12 months in an ACA officer related position provided master’s degree obtained in concentration in ACA.
",,,,210X,220X,230X,290X,,,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUMED-00C4 Corps appropriate,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
67I,,6,7,Executive Medicine Staff,I,Credentialed  Health Care Administrator (CHCA),"A master’s degree and has successfully completed:
(a) 18 months in a CHCA officer related position.  
OR
(b) 12 months in a CHCA officer related position provided master’s degree obtained in concentration in health administration.
",,,,210X,220X,230X,290X,,,,,,,,,,,,,,,,O1 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUMED-00C4 Corps appropriate,,,,,Surgeon General (SG) Advisor ,BUPERS - 311,BUPERS -315,,,,,,,,,,,,,
